Skip to main content
WATCARD
Dashboard
Transactions
Profile Picture
Transactions
Transaction History
Current Statement
Last Statement
Type
Balances
Status
Approved
From
09/01/2024
 
To
12/31/2024
 
 
Transactions
Show 
100
 entries
Showing 1 to 100 of 187 entries
Search:
Date - Time	Type	Terminal	Status	Balance	Units	Amount
2024-10-21 09:05:15	136 : ACCOUNT BALANCE MOVE	00024 : WEBAPPS	Approved	3	0	$1,915.00
2024-10-18 19:52:51	003 : PREPAYMENT (ADMIN)	00010 : Term 5	Approved	6	0	$2,165.00
2024-10-11 18:05:50	104 : FINANCIAL VEND	01225 : POS-FS-SLC JUGO JUICE-13	Approved	9	0	$-6.16
2024-10-10 16:12:13	004 : VEND (MONEY)	01349 : OTC-IP-SJU FUNCKEN CAFE	Approved	9	0	$-3.44
2024-10-09 21:12:48	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	9	0	$-21.33
2024-10-09 18:21:30	004 : VEND (MONEY)	00733 : W PRINT PRINTING	Approved	9	0	$-0.66
2024-10-09 13:43:43	104 : FINANCIAL VEND	00437 : POS-FS-EIT CAFE-47	Approved	9	0	$-12.42
2024-10-08 21:13:19	004 : VEND (MONEY)	01022 : LN-HS-REV LAUNDRY 2	Approved	9	0	$-2.00
2024-10-08 20:39:07	104 : FINANCIAL VEND	00043 : POS-FS-REV REV-19	Approved	9	0	$-19.41
2024-10-08 20:31:49	004 : VEND (MONEY)	01022 : LN-HS-REV LAUNDRY 2	Approved	9	0	$-2.00
2024-10-08 16:11:25	104 : FINANCIAL VEND	00783 : POS-FS-SLC TH-3	Approved	9	0	$-3.77
2024-10-08 14:29:36	104 : FINANCIAL VEND	02428 : POS-FS-SLC PITA-SHAWARMA-10	Approved	9	0	$-16.94
Previous
1
2
Next
© 2025 Touchnet All rights reserved. Privacy Notice
OneWeb Version: 8.10.0.20
